nama,website,telepon,kelas_kontak,status,semua_nomor,sumber_halaman,sumber_discovery
Indolakto / Indomilk,http://www.indomilk.com,,,tidak_ketemu,,,gapmmi
Indomaret,https://www.indomaret.co.id,622150897400,langsung,ok,"628111500280,1500280",https://career.indomaretgroup.com/,nomor-4sep
Jamkrindo,https://www.jamkrindo.co.id,,,robots_disallowed,,,pra-bps
Jasa Cargo Ekspedisi Surabaya NCT,https://nctsurabaya.com,62313282030,langsung,ok,"62313282030,6281233528299,6287869135566,6281703708033,6282337034918,6285257952331",https://nctsurabaya.com/,pra-bps
JasaWebMedan,https://www.jasawebmedan.com,6282397248320,seluler,ok,6282397248320,https://www.jasawebmedan.com/,pra-bps
Javaindo,https://www.javaindo.co.id,,,tidak_ketemu,,,gapmmi
Kalbe,https://www.kalbe.co.id,62214256326,langsung,ok,62214256326,https://www.kalbe.co.id/id/kontak,gapmmi
Kamadjaja Logistics,https://www.kamadjaja.com,62313553666,langsung,ok,"62313553666,62313533083,62217398866,622172790666",https://www.kamadjaja.com/contact-us/,tegak-4sep
Kantor Maxim Indonesia,https://id.taximaxim.com,,,tidak_ketemu,,,pra-bps
Kapal Api Global / Santos Jaya Abadi,https://kapalapiglobal.com,62213503881,langsung,ok,"62213503881,62213503879",https://kapalapiglobal.com/,gapmmi
Kino Indonesia,https://www.kino.co.id,622180821166,langsung,ok,"622180821166,628001005466,6281113110900",https://www.kino.co.id/,gapmmi
Kopi Kenangan,https://kopikenangan.com,6285311111010,seluler,ok,6285311111010,https://kopikenangan.com/,tegak-3sep
LogID,https://logid.co.id,,,tidak_ketemu,,,pra-bps
Mayora Indah,https://mayora.com,622180637000,langsung,ok,622180637000,https://mayora.com/,gapmmi
Mondelez Indonesia,https://www.mondelezinternational.com,,,tidak_ketemu,,,gapmmi
Nestle Indonesia,https://www.nestle.co.id,,,robots_disallowed,,,gapmmi
Nippon Paint,https://www.nipponpaint-indonesia.com,62216900546,langsung,ok,62216900546,https://www.nipponpaint-indonesia.com/,antrian-2sep
Nutrifood Indonesia,https://www.nutrifood.co.id,622129635700,langsung,ok,"622129635700,62214607777,622146829506",https://www.nutrifood.co.id/contact-us/,gapmmi
PT Arta Boga Cemerlang,https://www.artaboga.com,622158397788,langsung,ok,"622158397788,628118051265,6281181310529",https://www.artaboga.com/ID/hubungi-kami,tegak-3sep
PT Bratasena Jaya,https://bj.co.id,62217658530,langsung,ok,"62217658530,62217658532",https://bj.co.id/contact,tegak-2sep
PT Canning Indonesian Products,https://www.pronas.co.id,62361228816,langsung,tidak_ketemu,,https://bursakerja.denpasarkota.go.id/?page=234&language=id&domain=&action=viewdetail&pen_id=1055,riset-manual
PT Dirgantara Indonesia (Kantor Pusat),https://www.indonesian-aerospace.com,,,tidak_ketemu,,,pra-bps
PT Epson Indonesia,https://www.epson.co.id,628121237766,seluler,ok,"628121237766,1500766",https://www.epson.co.id/contact,tegak-2sep
PT Magna Perkasa,https://www.magnaperkasa.com,6281298912017,seluler,ok,6281298912017,https://www.magnaperkasa.com/,pra-bps
PT Multi Areal Planing Indonesia (MAPID),https://mapid.co.id,,,tidak_ketemu,,,pra-bps
PT Multi Guna Maritim,https://mgmaritim.com,625113277423,langsung,ok,625113277423,https://mgmaritim.com/contact-us/,tegak-2sep
PT Musim Mas,https://www.musimmas.com,627225050967,langsung,ok,"627225050967,628544921875",https://www.musimmas.com/contact-us/,pra-bps
PT Pacificagung Trijaya,https://norxel.id,,,tidak_ketemu,,,pra-bps
PT Phapros Tbk,https://www.phapros.co.id,62247625484,langsung,ok,"62247625484,62247605133",https://www.phapros.co.id/,pra-bps
PT Power Telecom,https://www.powertel.co.id,,,tidak_ketemu,,,pra-bps
PT Pupuk Indonesia,https://www.pupuk-indonesia.com,622153654900,langsung,ok,"622153654900,62800100800,6281110001959",https://www.pupuk-indonesia.com/contact-us,antrian-2sep
PT Semen Indonesia Distributor,https://sidistributor.com,623199101004,langsung,ok,"623199101004,623199101069,62313981888,6281133331800,628113148833",https://sidistributor.com/kontak/,tegak-4sep
PT Semen Indonesia Logistik,https://www.silog.co.id,,,tidak_ketemu,,,pra-bps
PT Trimanunggal Perkasindo,https://tpturbo.com,622129368722,langsung,ok,"622129368722,6281908767943",https://tpturbo.com/,pra-bps
PT United Dico Citas,https://www.udc.co.id,62213149338,langsung,tidak_ketemu,,https://www.udc.co.id/corporate-directory,nomor-4sep
PT. BERCA MANDIRI PERKASA,https://www.berca-mp.co.id,62216006125,langsung,ok,"62216006125,62411518414,623808441038,624013082554,625513829585,628287401976,62811533878,6281347371283,628114564788",https://berca-mp.co.id/contact-us/,tegak-2sep
PT. Bakti Mandiri Perkasa,https://www.pt-bmp.com,62318296878,langsung,ok,"62318296878,62318296877",https://www.pt-bmp.com/,pra-bps
PT. Chang Jui Fang Indonesia,https://cjfi.co.id,62216685700,langsung,ok,62216685700,https://cjfi.co.id/,tegak-2sep
PT. Control Systems Arena Para Nusa,https://ptcs.co.id,62217807881,langsung,ok,"62217807881,62217807879",https://ptcs.co.id/,pra-bps
PT. Dharma Satya Nusantara,https://www.dsn.co.id,62214618135,langsung,ok,62214618135,https://www.dsn.co.id/,pra-bps
PT. Erela,https://www.erela.co.id,62248310650,langsung,ok,"62248310650,62247477557",https://www.erela.co.id/,tegak-2sep
"PT. Kimia Farma, Tbk.",https://www.kimiafarma.co.id,1500255,layanan,ok,1500255,https://www.kimiafarma.co.id/id/tanggung-jawab-terhadap-konsumen,pra-bps
Paragon Technology and Innovation,paragon-innovation.com,62215849070,langsung,ok,62215849070,https://www.paragon-innovation.com/contact,nomor-4sep
Prambanan Kencana,https://www.prb.co.id,62213810340,langsung,ok,"62213810340,62213810342,6285210000633",https://www.prb.co.id/,tegak-4sep
R2plan,https://r2plan.com,622155699995,langsung,ok,"622155699995,62215569999,6285319908189",https://r2plan.com/,pra-bps
Reksa Finance,https://www.reksafinance.co.id,,,tidak_ketemu,,,pra-bps
Sahabat Laut Lestari,https://sahabatlautlestari.com,6281138205400,seluler,ok,6281138205400,https://sahabatlautlestari.com/,pra-bps
Semidang Group,https://semidang.com,62818164888,seluler,ok,62818164888,https://semidang.com/,pra-bps
Sinar Mas,https://www.sinarmas.com,622150288869,langsung,ok,622150288869,https://www.sinarmas.com/,gapmmi
Sinar Sosro,http://sinarsosro.id,62218840855,langsung,ok,628551176776,https://sinarsosro.id/en/rekrutmen,nomor-4sep
Smart GPS Bandung,https://smartgps.co.id,628116687272,seluler,ok,"628116687272,628116697272,6282218817272,6281904577757,6285296579334,628115177272,628114447719,6281361877272",https://smartgps.co.id/,pra-bps
So Good Food,https://sogood.id,628041509006,layanan,ok,628041509006,https://sogood.id/,gapmmi
Solar Surya Indotama,https://solarsuryaindotama.co.id,62215656013,langsung,ok,"62215656013,62811518788",https://solarsuryaindotama.co.id/,pra-bps
TIKI,https://tiki.id,62211500125,layanan,ok,"62911347857,62542744717,62721701323,622242828217,625113273333,62333414037,62778425783,622188341047,629818211298,622518321798,62263262178,62282535813,62231246116,62361223049,622177835687,62262243277,62435827034,62211500125,629675185063,62331425212,62274414499,62267411171,624013415078,62291430304,62380821216,62351455111,624113617888,62341326988,62431865591,62986211408,623707851558,62617321752,62971324564,625363224332,627115610461,62451422536,62717421893,62285411602,62761565656,62561732528,622648306245,62281623696,62298326963,62541273060,62243517551,62254206892,62271644363,622666220099,62315322942,62215517640,622155778030,625542020233,625513832622,62265336405,62283341670,629213110343,629013260444,6281343499950,6285396715150,6281342516633,6285100654988,6281248111257,6281344787305,6281354367517,6281477108552,6285359756776,6282152386931,628114872217,6281929773633,6281346456631,6281542399961,1500125",https://tiki.id/id/kontak,nomor-4sep
Toko Balon,https://www.tukangbalon.com,6287878889787,seluler,ok,6287878889787,https://www.tukangbalon.com/,pra-bps
TransTRACK.ID,https://transtrack.id,622129406843,langsung,ok,"622129406843,6281119002999",https://transtrack.id/,pra-bps
Unilever Indonesia,https://www.unilever.co.id,,,tidak_ketemu,,,gapmmi
UrShipper,https://urshipper.com,62811399044,seluler,ok,62811399044,https://urshipper.com/,pra-bps
WebHozz Bandung,https://www.webhozz.com,6281295977875,seluler,ok,"6281295977875,6281284585378,6282216721780",https://www.webhozz.com/,pra-bps
